start,end,title
20210301,20210301,삼일절(학기개시일)
20210302,20210302,개강
20210302,20210308,수강신청 확인 및 정정
20210302,20210308,학교현장실습(복학생) 신청
20210310,20210315,수강학점철회 신청
20210316,20210322,학점포기 신청
20210322,20210322,휴학신청 마감
20210405,20210409,2020학년도 후기 예비졸업사정
20210405,20210430,교직 학교현장실습(1차)
20210412,20210416,교직 이수희망자 및 교직 복수전공희망자 신청
20210415,20210421,다전공/트랙 신청 및 포기 및 본전공 신청
20210419,20210423,조기졸업 및 부전공신청
20210420,20210426,1학기 중간시험
20210503,20210528,교직 학교현장실습(2차)
20210505,20210505,어린이날
20210510,20210514,2학기 재입학 신청
20210517,20210528,사회봉사학점 인정 신청(국제)
20210518,20210518,개교기념일(72주년)
20210519,20210519,부처님 오신 날
20210531,20210604,졸업능력인증 신청
20210531,20210604,기초교과(구 핵심교양) 이수면제 신청
20210531,20210611,사회봉사학점 인정 신청(서울)
20210531,20210611,교원자격무시험검정 신청(후기)

20210601,20210622,1학기 강의평가
20210606,20210606,현충일
20210615,20210621,1학기 학기말시험
20210615,20210629,1학기 성적 열람(강의평가자. 6/26~6/28제외)
20210622,20210713,하계 계절제 수업
20210622,20210831,하계 방학
20210630,20210702,1학기 성적 열람 및 공시

20210707,20210712,2학기 전과 신청
20210713,20210723,2학기 복학 신청
20210714,20210720,2학기 수강희망과목담기
20210726,20210730,하계 집중휴무 (Eco-Friendly Campus Week)

20210802,20210806,2020학년도 후기 졸업사정
20210803,20210820,2학기 휴학 신청
20210806,20210813,2학기 수강신청
20210815,20210815,광복절
20210818,202102학년, 학위수여식(70회)
20210823,20210827,2학기 등록

20210901,20210901,개강 (학기 개시일)
20210901,20210907,수강신청 확인 및 정정
20210909,20210914,수강학점철회 신청
20210915,20210924,학점포기 신청
20210920,20210922,추석 연휴
20210923,20210923,휴학신청 마감
20210927,20211005,교직 복수전공 신청
20210927,20211022,2022학년도 교직 교육실습 신청

20211003,20211003,개천절
20211004,20211008,2021학년도 전기 예비졸업사정
20211006,20211012,다전공. 트랙 신청 및 포기. 본전공신청
20211009,20211009,한글날
20211011,20211015,조기졸업. 부전공 신청
20211020,20211026,2학기 중간시험

20211115,20211119,2022학년도1학기 재입학 신청
20211115,20211126,사회봉사학점 인정 신청(국제)
20211129,20211203,졸업능력인증 신청
20211129,20211203,기초교과(구 핵심교양) 이수면제 신청
20211129,20211210,교원자격무시험검정 신청(전기)
20211129,20211210,사회봉사학점 인정 신청(서울)

20211201,20211222,2학기 강의평가
20211215,20211221,2학기 학기말시험
20211215,20211229,2학기 성적 열람(강의평가자.12/25~27제외)
20211222,20212002,동계 계절학기 수업
20211222,20212008,동계 방학
20211225,20211225,성탄절
20211230,2021201년,3일(월)2학기 성적 열람 및 공시

20220101,20220101,신정
20220106,20210111,2022학년도 1학기 전과 신청
20220112,20210118,2022학년도 1학기 수강희망과목담기
20220112,20210124,2022학년도 1학기 복학 신청
20220118,20210204,2021학년도 전기 졸업사정
20220124,20210128,동계 집중휴무 (Eco-Friendly Campus Week)
20220131,20210202,설 연휴

20220203,20210218,2022학년도 1학기 휴학 신청
20220207,20210211,2022학년도 1학기 수강신청
20220216,20220216,202102학년 학위수여식(71회)
20220221,20210225,2022학년도 1학기 등록
